old_tag,new_tag,score
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
OperatingIncomeLoss,OperatingIncomeLoss',10
OperatingIncomeLoss,OperatingIncomeLoss',10
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
SalesRevenueNet,TotalCostOfRevenueAndOperatingExpenses',2
OperatingIncomeLoss,OperatingIncomeLoss',10
OperatingIncomeLoss,OperatingIncomeLoss',10
OperatingIncomeLoss,OperatingIncomeLoss',10
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodValue,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodWeightedAveragePrice,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodWeightedAveragePrice,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodWeightedAveragePrice,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodWeightedAveragePrice,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodWeightedAveragePrice,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodWeightedAveragePrice,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodWeightedAveragePrice,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodWeightedAveragePrice,PreferredStockAndOtherAdjustments',2
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
StockRepurchasedAndRetiredDuringPeriodShares,RedeemablePreferredStockShares',3
