,tag,new_tag
3254,NetIncomeLoss,"('NetOperatingIncomeLoss', 4)"
3255,NetIncomeLoss,"('NetOperatingIncomeLoss', 4)"
3256,SharesOfStockIssuedDuringPeriodShareBasedCompensationNetOfSharesWithheldForTaxes,"('NetIncomeApplicableToCommonShares', 6)"
3257,SharesOfStockIssuedDuringPeriodShareBasedCompensationNetOfSharesWithheldForTaxes,"('NetIncomeApplicableToCommonShares', 6)"
3258,SharesOfStockIssuedDuringPeriodShareBasedCompensationNetOfSharesWithheldForTaxes,"('NetIncomeApplicableToCommonShares', 6)"
3259,StockholdersEquity,"('TotalStockholdersEquity', 4)"
3260,StockholdersEquity,"('TotalStockholdersEquity', 4)"
3261,StockholdersEquity,"('TotalStockholdersEquity', 4)"
3262,StockholdersEquity,"('TotalStockholdersEquity', 4)"
3263,DerivativeFairValueOfDerivativeLiability,"('DeferredLongTermLiabilityCharges', 2)"
3264,DerivativeFairValueOfDerivativeLiability,"('DeferredLongTermLiabilityCharges', 2)"
3265,CommitmentsAndContingencies,"('TotalOtherIncomeAndExpenses', 2)"
3266,CommitmentsAndContingencies,"('TotalOtherIncomeAndExpenses', 2)"
3267,CommonStockSharesAuthorized,"('NetIncomeApplicableToCommonShares', 4)"
3268,CommonStockSharesAuthorized,"('NetIncomeApplicableToCommonShares', 4)"
3269,IncreaseDecreaseInAccountsReceivable,"('TotalAccountsPayable', 2)"
3270,IncreaseDecreaseInAccountsReceivable,"('TotalAccountsPayable', 2)"
3271,IncreaseDecreaseInAccountsReceivable,"('TotalAccountsPayable', 2)"
3272,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,"('NetIncomeFromContinuingOperations', 5)"
3273,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,"('NetIncomeFromContinuingOperations', 5)"
3274,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,"('NetIncomeFromContinuingOperations', 5)"
3275,InventoryNet,"('NetInventory', 4)"
3276,InventoryNet,"('NetInventory', 4)"
3277,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,"('TOTALCURRENTLIABILITIES', 8)"
3278,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,"('TOTALCURRENTLIABILITIES', 8)"
3279,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesTax,"('TOTALCURRENTLIABILITIES', 8)"
3280,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"('TotalOtherIncomeExpensesNet', 4)"
3281,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"('TotalOtherIncomeExpensesNet', 4)"
3282,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,"('TotalOtherIncomeExpensesNet', 4)"
3283,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
3284,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
3285,OtherAccruedLiabilitiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 5)"
3286,OtherAccruedLiabilitiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 5)"
3287,DeferredFederalIncomeTaxExpenseBenefit,"('TotalIncomeTaxExpense', 5)"
3288,DeferredFederalIncomeTaxExpenseBenefit,"('TotalIncomeTaxExpense', 5)"
3289,DeferredFederalIncomeTaxExpenseBenefit,"('TotalIncomeTaxExpense', 5)"
3290,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,"('TotalIncomeTaxExpense', 5)"
3291,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,"('TotalIncomeTaxExpense', 5)"
3292,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,"('TotalIncomeTaxExpense', 5)"
3293,OperatingLeasesFutureMinimumPaymentsDueCurrent,"('TotalOperatingIncomeLoss', 2)"
3294,StandardProductWarrantyAccrualWarrantiesIssued,"('Misc.StocksOptionsWarrants', 2)"
3295,StandardProductWarrantyAccrualWarrantiesIssued,"('Misc.StocksOptionsWarrants', 2)"
3296,StandardProductWarrantyAccrualWarrantiesIssued,"('Misc.StocksOptionsWarrants', 2)"
3297,StockRepurchaseProgramAuthorizedAmount1,"('PreferredStockAndOtherAdjustments', 1)"
3298,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"('TotalIncomeTaxExpense', 2)"
3299,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,"('TotalIncomeTaxExpense', 2)"
3300,IncreaseDecreaseInNonTradeReceivables,"('NetReceivables', 2)"
3301,IncreaseDecreaseInNonTradeReceivables,"('NetReceivables', 2)"
3302,IncreaseDecreaseInNonTradeReceivables,"('NetReceivables', 2)"
3303,CurrentForeignTaxExpenseBenefit,"('TotalIncomeTaxExpense', 3)"
3304,CurrentForeignTaxExpenseBenefit,"('TotalIncomeTaxExpense', 3)"
3305,CurrentForeignTaxExpenseBenefit,"('TotalIncomeTaxExpense', 3)"
3306,DeferredRevenueNoncurrent,"('DeferredAssetsNoncurrent', 4)"
3307,DeferredRevenueNoncurrent,"('DeferredAssetsNoncurrent', 4)"
3308,SharesPaidForTaxWithholdingForShareBasedCompensation,"('NetIncomeApplicableToCommonShares', 3)"
3309,SharesPaidForTaxWithholdingForShareBasedCompensation,"('NetIncomeApplicableToCommonShares', 3)"
3310,SharesPaidForTaxWithholdingForShareBasedCompensation,"('NetIncomeApplicableToCommonShares', 3)"
3311,WeightedAverageNumberDilutedSharesOutstandingAdjustment,"('NetIncomeApplicableToCommonShares', 2)"
3312,WeightedAverageNumberDilutedSharesOutstandingAdjustment,"('NetIncomeApplicableToCommonShares', 2)"
3313,WeightedAverageNumberDilutedSharesOutstandingAdjustment,"('NetIncomeApplicableToCommonShares', 2)"
3314,IndefiniteLivedIntangibleAssetsExcludingGoodwill,"('TotalIntangibleAssetsNet', 4)"
3315,IndefiniteLivedIntangibleAssetsExcludingGoodwill,"('TotalIntangibleAssetsNet', 4)"
3316,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"('NetIncomeFromContinuingOperationsResults', 2)"
3317,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"('NetIncomeFromContinuingOperationsResults', 2)"
3318,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,"('NetIncomeFromContinuingOperationsResults', 2)"
3319,AccountsReceivableNetCurrent,"('TotalOtherCurrentLiabilities', 3)"
3320,AccountsReceivableNetCurrent,"('TotalOtherCurrentLiabilities', 3)"
3321,ProceedsFromIssuanceOfCommonStock,"('NetIncomeApplicableToCommonShares', 3)"
3322,ProceedsFromIssuanceOfCommonStock,"('NetIncomeApplicableToCommonShares', 3)"
3323,ProceedsFromIssuanceOfCommonStock,"('NetIncomeApplicableToCommonShares', 3)"
3324,WeightedAverageNumberOfDilutedSharesOutstanding,"('NetIncomeApplicableToCommonShares', 2)"
3325,WeightedAverageNumberOfDilutedSharesOutstanding,"('NetIncomeApplicableToCommonShares', 2)"
